"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"1","No","3rd","male",22,1,0,7.25,"Southampton"
"2","Yes","1st","female",38,1,0,71.2833,"Cherbourg"
"3","Yes","3rd","female",26,0,0,7.925,"Southampton"
"4","Yes","1st","female",35,1,0,53.1,"Southampton"
"5","No","3rd","male",35,0,0,8.05,"Southampton"
"6","No","3rd","male",34,0,0,8.4583,"Queenstown"
"7","No","1st","male",54,0,0,51.8625,"Southampton"
"8","No","3rd","male",2,3,1,21.075,"Southampton"
"9","Yes","3rd","female",27,0,2,11.1333,"Southampton"
"10","Yes","2nd","female",14,1,0,30.0708,"Cherbourg"
"11","Yes","3rd","female",4,1,1,16.7,"Southampton"
"12","Yes","1st","female",58,0,0,26.55,"Southampton"
"13","No","3rd","male",20,0,0,8.05,"Southampton"
"14","No","3rd","male",39,1,5,31.275,"Southampton"
"15","No","3rd","female",14,0,0,7.8542,"Southampton"
"16","Yes","2nd","female",55,0,0,16,"Southampton"
"17","No","3rd","male",2,4,1,29.125,"Queenstown"
"18","Yes","2nd","male",22,0,0,13,"Southampton"
"19","No","3rd","female",31,1,0,18,"Southampton"
"20","Yes","3rd","female",9,0,0,7.225,"Cherbourg"
"21","No","2nd","male",35,0,0,26,"Southampton"
"22","Yes","2nd","male",34,0,0,13,"Southampton"
"23","Yes","3rd","female",15,0,0,8.0292,"Queenstown"
"24","Yes","1st","male",28,0,0,35.5,"Southampton"
"25","No","3rd","female",8,3,1,21.075,"Southampton"
"26","Yes","3rd","female",38,1,5,31.3875,"Southampton"
"27","No","3rd","male",31,0,0,7.225,"Cherbourg"
"28","No","1st","male",19,3,2,263,"Southampton"
"29","Yes","3rd","female",21,0,0,7.8792,"Queenstown"
"30","No","3rd","male",29,0,0,7.8958,"Southampton"
"31","No","1st","male",40,0,0,27.7208,"Cherbourg"
"32","Yes","1st","female",39,1,0,146.5208,"Cherbourg"
"33","Yes","3rd","female",21,0,0,7.75,"Queenstown"
"34","No","2nd","male",66,0,0,10.5,"Southampton"
"35","No","1st","male",28,1,0,82.1708,"Cherbourg"
"36","No","1st","male",42,1,0,52,"Southampton"
"37","Yes","3rd","male",20,0,0,7.2292,"Cherbourg"
"38","No","3rd","male",21,0,0,8.05,"Southampton"
"39","No","3rd","female",18,2,0,18,"Southampton"
"40","Yes","3rd","female",14,1,0,11.2417,"Cherbourg"
"41","No","3rd","female",40,1,0,9.475,"Southampton"
"42","No","2nd","female",27,1,0,21,"Southampton"
"43","No","3rd","male",31,0,0,7.8958,"Cherbourg"
"44","Yes","2nd","female",3,1,2,41.5792,"Cherbourg"
"45","Yes","3rd","female",19,0,0,7.8792,"Queenstown"
"46","No","3rd","male",30,0,0,8.05,"Southampton"
"47","No","3rd","male",34,1,0,15.5,"Queenstown"
"48","Yes","3rd","female",21,0,0,7.75,"Queenstown"
"49","No","3rd","male",26,2,0,21.6792,"Cherbourg"
"50","No","3rd","female",18,1,0,17.8,"Southampton"
"51","No","3rd","male",7,4,1,39.6875,"Southampton"
"52","No","3rd","male",21,0,0,7.8,"Southampton"
"53","Yes","1st","female",49,1,0,76.7292,"Cherbourg"
"54","Yes","2nd","female",29,1,0,26,"Southampton"
